Date;Time;Speed;Running;Battery Voltage;GSM signal strength;Odometer (Server);Satellites;Temperature A;Humidity A
2017-06-05;14:38;;;97;94;;;23.9;44.8
2017-06-05;14:43;;;97;94;;;23.8;43.6
2017-06-05;14:43;;;;90;;;23.9;44.2
2017-06-05;14:47;;;;94;;;;43.6
2017-06-05;14:48;;;97;;;;;
2017-06-05;14:51;;;;;;;23.9;
2017-06-05;14:53;;;97;97;;;;44.2
2017-06-05;14:55;;;;87;;;;43.6
2017-06-05;14:58;;;97;94;;;23.9;
2017-06-05;15:02;;;;;;;24;43.6
2017-06-05;15:03;;;97;94;;;23.9;44.2
2017-06-05;15:06;;;;;;;;43.6
2017-06-05;15:08;;;97;94;;;23.9;44.2
2017-06-05;15:11;;;;90;;;;43.6
2017-06-05;15:13;;;97;94;;;23.9;44.2
2017-06-05;15:13;;;94;;;;;
2017-06-05;15:14;;;97;;;;;43.6
2017-06-05;15:18;;;;94;;;24;
2017-06-05;15:23;;;94;97;;;24;43.6
2017-06-05;15:24;;;;;;;;43
2017-06-05;15:28;;;94;97;;;24;
2017-06-05;15:32;;;;;;;;43.6
2017-06-05;15:33;;;94;97;;;24;44.2
2017-06-05;15:38;;;94;97;;;24;43
2017-06-05;15:43;;;94;97;;;24;43.6
2017-06-05;15:48;;;94;100;;;24;43
2017-06-05;15:49;;;;97;;;;
2017-06-05;15:53;;;94;100;;;24;43
2017-06-05;15:55;;;;94;;;;
2017-06-05;15:58;;;94;97;;;24;43
2017-06-05;16:03;;;94;100;;;24;43.6
2017-06-05;16:05;;;;;;;;42.4
2017-06-05;16:08;;;94;100;;;24;43
2017-06-05;16:08;;;91;;;;24.1;
2017-06-05;16:12;;;94;97;;;;42.4
2017-06-05;16:13;;;;;;;;43
2017-06-05;16:13;;;;;;;24.1;
2017-06-05;16:18;;;94;97;;;;42.4
2017-06-05;16:21;;;;;;;24.1;
2017-06-05;16:23;;;94;97;;;;43
2017-06-05;16:24;;;;100;;;;
2017-06-05;16:27;;;91;;;;24.1;42.4
2017-06-05;16:28;;;;97;;;;
2017-06-05;16:30;;;;90;;;;
2017-06-05;16:33;;;91;100;;;24.2;42.4
2017-06-05;16:37;;;;;;;;43
2017-06-05;16:38;;;91;100;;;24.2;42.4
2017-06-05;16:41;;;;;;;24.3;43
2017-06-05;16:43;;;91;100;;;;41.8
2017-06-05;16:44;;;;;;;;42.4
2017-06-05;16:48;;;91;97;;;24.3;
2017-06-05;16:52;;;;100;;;;41.8
2017-06-05;16:53;;;91;97;;;24.4;
2017-06-05;16:58;;;91;97;;;24.4;42.4
2017-06-05;17:03;;;91;100;;;24.4;41.8
2017-06-05;17:08;;;91;97;;;24.5;41.8
2017-06-05;17:13;;;91;100;;;24.5;41.8
2017-06-05;17:13;;;;97;;;;42.4
2017-06-05;17:18;;;91;100;;;24.5;41.8
2017-06-05;17:20;;;;97;;;24.6;42.4
2017-06-05;17:23;;;91;90;;;;41.8
2017-06-05;17:23;;;;97;;;;
2017-06-05;17:26;;;;;;;24.6;41.2
2017-06-05;17:28;;;86;94;;;;
2017-06-05;17:28;;;91;97;;;;
2017-06-05;17:29;;;;100;;;25;43.1
2017-06-05;17:32;;;;90;;;25.8;38.9
